,Schrodinger
2016-10-28,74930.11397043809
2016-11-04,73180.59296010462
2016-11-11,73637.14307478051
2016-11-18,74216.0195099819
2016-11-25,75112.6690209189
2016-12-02,74721.43429370555
2016-12-09,77060.66979502571
2016-12-16,76977.75581198926
2016-12-23,77110.39831577583
2016-12-30,76368.06879455595
2017-01-06,77814.75737948711
2017-01-13,78131.55901484854
2017-01-20,77909.67402074893
2017-01-27,77948.46088943753
2017-02-03,78238.6479109423
2017-02-10,79111.4978262382
2017-02-17,79061.1476014462
2017-02-24,80122.52948998839
2017-03-03,79301.4184162534
2017-03-10,77729.4506177909
2017-03-17,78805.28998994535
2017-03-24,78481.67358240446
2017-03-31,79231.20065186422
2017-04-07,79640.68978861807
2017-04-14,80279.54739402518
2017-04-21,80596.23853627824
2017-04-28,80578.59359142372
2017-05-05,80117.61391162327
2017-05-12,79639.3417048155
2017-05-19,80536.02117615224
2017-05-26,80606.32282244295
2017-06-02,81557.21151325056
2017-06-09,80927.2341377314
2017-06-16,81234.17047943233
2017-06-23,81513.30207640186
2017-06-30,80259.96306695844
2017-07-07,79504.80469542637
2017-07-14,80732.50612556325
2017-07-21,81533.21606969416
2017-07-28,81794.04634139205
2017-08-04,81668.25087922039
2017-08-11,81922.45748766612
2017-08-18,81720.15052229454
2017-08-25,82462.25928535426
2017-09-01,83422.55168093114
2017-09-08,83825.45768991033
2017-09-15,83857.60484933201
2017-09-22,83542.41486362602
2017-09-29,83629.67375264979
2017-10-06,83913.22668171208
2017-10-13,84498.983410115
2017-10-20,84185.68269193477
2017-10-27,84282.39737668668
2017-11-03,84328.4046167914
2017-11-10,83622.36495750869
2017-11-17,83817.00700256249
2017-11-24,84052.44484337047
2017-12-01,85695.14484803453
2017-12-08,85853.45161069202
2017-12-15,86210.27033868102
2017-12-22,86630.20340533611
2017-12-29,87229.26042431023
2018-01-05,88661.15705425307
2018-01-12,89974.84888926336
2018-01-19,90227.84740159046
2018-01-26,91761.50075408776
2018-02-02,88316.08178563637
2018-02-09,84363.07928066856
2018-02-16,87779.95049360296
2018-02-23,88389.04871925054
2018-03-02,86919.95894067029
2018-03-09,89771.72174561607
2018-03-16,89133.10375825936
2018-03-23,84308.04081837875
2018-03-30,85892.27420888751
2018-04-06,84486.82644195773
2018-04-13,86603.65552820734
2018-04-20,86729.78628280641
2018-04-27,86575.49725153811
2018-05-04,87773.35553722773
2018-05-11,90209.70159690056
2018-05-18,89360.31269945607
2018-05-25,89648.38151327583
2018-06-01,90576.4324376121
2018-06-08,91467.70265275674
2018-06-15,91374.07043955932
2018-06-22,90359.69612575407
2018-06-29,88822.9656531447
2018-07-06,90237.65331454371
2018-07-13,91666.23066354067
2018-07-20,91679.64990198944
2018-07-27,91317.55563472093
2018-08-03,91784.23891543475
2018-08-10,91922.74729398402
2018-08-17,92223.92622641186
2018-08-24,93393.47748928698
2018-08-31,94642.13951163758
2018-09-07,92870.41560089705
2018-09-14,94131.66624923404
2018-09-21,94735.01734397294
2018-09-28,94273.57819466181
2018-10-05,92859.86238991607
2018-10-12,88871.99983201262
2018-10-19,88868.69482276059
2018-10-26,85907.5548753874
2018-11-02,88118.97401754839
2018-11-09,89338.73744940909
2018-11-16,87706.81823514342
2018-11-23,84010.56443371125
2018-11-30,87772.99249340127
2018-12-07,84080.22817331273
2018-12-14,82753.78765514972
2018-12-21,77278.3407147309
2018-12-28,78880.64366034015
2019-01-04,80053.86119243842
2019-01-11,82545.93395712967
2019-01-18,84534.182538562
2019-01-25,84754.15718974055
2019-02-01,85705.44668279923
2019-02-08,86139.5781618829
2019-02-15,88204.62181727357
2019-02-22,88844.9290702045
2019-03-01,88929.07376991885
2019-03-08,87292.12219888828
2019-03-15,89850.64187912976
2019-03-22,88687.73201096107
2019-03-29,89709.70080923662
2019-04-05,90974.1879002367
2019-04-12,91403.63259749462
2019-04-19,91287.66189451347
2019-04-26,92144.21213984715
2019-05-03,92128.92939199049
2019-05-10,90546.35337698231
2019-05-17,90209.88762016378
2019-05-24,89074.7458602817
2019-05-31,87183.25438958612
2019-06-07,90308.54373555318
2019-06-14,90610.28961608662
2019-06-21,92594.78036061935
2019-06-28,92576.54114114793
2019-07-05,94108.08481040427
2019-07-12,94747.37903140672
2019-07-19,93893.1894138457
2019-07-26,95090.21985045118
2019-08-02,94245.25776822687
2019-08-09,94295.51880130607
2019-08-16,93978.46308551109
2019-08-23,92820.35946010181
2019-08-30,95008.84354066833
2019-09-06,96606.80113601203
2019-09-13,95827.68126129202
2019-09-20,96798.42401976978
2019-09-27,95779.34036153139
2019-10-04,94021.81262026182
2019-10-11,93733.96264099787
2019-10-18,93843.99666612282
2019-10-25,94725.84558119484
2019-11-01,95357.8449385027
2019-11-08,94518.77168942911
2019-11-15,94978.78890650679
2019-11-22,94436.14244472087
2019-11-29,95343.88748275081
2019-12-06,95379.40967945731
2019-12-13,95981.93627682864
2019-12-20,97262.57352719395
2019-12-27,98253.24471727219
2020-01-03,99262.114425468
2020-01-10,99577.27018514441
2020-01-17,100819.7682973116
2020-01-24,102084.11754705787
2020-01-31,102079.23882217106
2020-02-07,103647.50216544942
2020-02-14,105292.90029905051
2020-02-21,105787.29867678689
2020-02-28,98667.8805363157
2020-03-06,100764.3148348227
2020-03-13,89809.99716308036
2020-03-20,77273.09078230432
2020-03-27,85600.69410329421
2020-04-03,84363.04517693263
2020-04-10,89655.28266013313
2020-04-17,92149.74549767276
2020-04-24,91592.13913382185
2020-05-01,91515.60327525715
2020-05-08,94249.3326368974
2020-05-15,93764.6316123769
2020-05-22,95235.17894909547
2020-05-29,96013.58392457612
2020-06-05,98805.08159881727
2020-06-12,96854.94699897758
2020-06-19,98610.36372163515
2020-06-26,98143.59285239344
2020-07-03,99799.5602835464
2020-07-10,100427.3671339989
2020-07-17,100871.85048233204
2020-07-24,102589.54782687241
2020-07-31,102677.76742397039
2020-08-07,103356.93434526536
2020-08-14,103185.03897076723
2020-08-21,104075.06932813779
2020-08-28,104386.56748908364
2020-09-04,103532.61436976075
2020-09-11,102823.46416368944
2020-09-18,102452.32328363862
2020-09-25,101084.38540469797
2020-10-02,102120.85125012694
2020-10-09,103888.61651394184
2020-10-16,103534.68210062372
2020-10-23,103446.06999198513
2020-10-30,100890.96763048184
2020-11-06,103046.54191545566
2020-11-13,105332.69516504703
2020-11-20,105956.50112629923
2020-11-27,107422.15445079758
2020-12-04,107272.70369290207
2020-12-11,107159.9849510777
2020-12-18,107975.20696367472
2020-12-25,108162.69714532359
2021-01-01,108837.8951682439
2021-01-08,109758.68887681763
2021-01-15,109593.81648808334
2021-01-22,110038.43986122633
2021-01-29,108611.0041548073
2021-02-05,110601.09788054883
2021-02-12,111349.2137898904
2021-02-19,109846.25355796595
2021-02-26,107991.89969743465
2021-03-05,105962.24189941588
2021-03-12,107535.54308742154
2021-03-19,107150.19707938326
2021-03-26,107624.41110238839
2021-04-02,109384.49288130185
2021-04-09,111894.00847263484
2021-04-16,114125.77143147028
2021-04-23,113901.41005347636
2021-04-30,113262.17747671287
2021-05-07,112804.73321110956
2021-05-14,110835.14738052896
2021-05-21,111261.39102802424
2021-05-28,113227.0871113787
2021-06-04,114130.63001751192
2021-06-11,114911.79661081944
2021-06-18,113996.09634468268
2021-06-25,116519.74646417305
2021-07-02,117658.69250730281
2021-07-09,118006.72581119287
2021-07-16,117159.41626824836
2021-07-23,119137.79229594418
2021-07-30,119594.39078056854
2021-08-06,119901.60828548479
2021-08-13,120500.5809193211
2021-08-20,121064.84896621818
2021-08-27,123549.0393327982
2021-09-03,123658.01087583615
2021-09-10,122223.53072220348
2021-09-17,121865.25535421791
2021-09-24,121214.13137233675
2021-10-01,119005.25761663314
2021-10-08,119015.27313083554
2021-10-15,121534.92861178941
2021-10-22,123140.56648237455
2021-10-29,125867.32378330143
2021-11-05,127930.35505557017
2021-11-12,127758.85605632907
2021-11-19,128013.15032291094
2021-11-26,127732.99533329818
2021-12-03,127211.2039869391
2021-12-10,130943.14819954791
2021-12-17,128379.56502520647
2021-12-24,131134.64760831854
2021-12-31,131563.13756830417
2022-01-07,126314.6427561023
2022-01-14,126248.44012127677
2022-01-21,118121.580692958
2022-01-28,118213.51720125829
2022-02-04,119825.08274455823
2022-02-11,117703.48145397744
2022-02-18,115997.94235365647
2022-02-25,117523.90052519727
2022-03-04,114876.41070044723
2022-03-11,111217.42740692652
2022-03-18,118793.54783144436
2022-03-25,120740.10320317348
2022-04-01,121381.01117632417
2022-04-08,118017.76161726139
2022-04-15,115210.5720885313
2022-04-22,111648.33600163668
2022-04-29,109068.08816814094
2022-05-06,107176.26570701526
2022-05-13,104447.6996424276
2022-05-20,101640.36918984944
2022-05-27,107699.67632251406
2022-06-03,106851.38575044897
2022-06-10,102364.98189780128
2022-06-17,97695.27892480309
2022-06-24,102712.47700256095
2022-07-01,100554.24748745025
2022-07-08,102530.34453849347
2022-07-15,101705.99921993543
2022-07-22,104115.0976182069
2022-07-29,107781.4183424481
2022-08-05,108474.50701555242
2022-08-12,111301.91738852471
2022-08-19,109804.94093617973
2022-08-26,106659.07497153328
2022-09-02,103538.42274131427
2022-09-09,106325.20915884097
2022-09-16,102260.7844423263
